scientific_name,common_name,meaning,diet,length_m,weight_kg,height_m,locomotion,geological_period,lived_in,behavior_notes,first_discovered,fossil_location,notable_features,intelligence_level
Stegosaurus,Stegosaurus stenops,Roof lizard,Herbivore,8.345236787253764,5265.957946803523,3.9323009123495667,Quadrupedal,Late Jurassic,North America,Plated dinosaur with tail spikes,1877,Colorado/USA,Two rows plates + 4 tail spikes,Low
Ozraptor,Ozraptor,Australian thief,carnivor,1.9217814613472521,31.376637075751347,0.9443247885851905,Bipedal,Middle Jurassic,Australia,Known from fragmentary fossil,1998,Western Australia,Known from partial limb bone,Unknown
Muyelensaurus,Muyelensaurus,Muyelen lizard,Herbivore,19.008655845413774,3986.7374704046792,6.509049505842083,Quadrupedal,Late Cretaceous,South America,Titanosaurian sauropod,2007,Argentina,Medium-sized titanosaur,Unknown
Tratayenia,Tratayenia,Tratayenia lizard,"herbivore ",10.473665245500321,8737.176769293597,4.013727179713899,Quadrupedal,Cretaceous,South America,Sauropod dinosaur,2017,Argentina,Large herbivore,Large
Sellosaurus,Sellosaurus,Sello lizard,Herbivore,4.121214489817203,,1.2563638083874746,Bipedal,Late Triassic,Europe,Sauropodomorph dinosaur,1910,USA,Early dinosaur,Medium
Ferrisaurus,Ferrisaurus,iron lizard,carnivor,3.138103798243794,312.39043841975507,1.2654614031338205,Bipedal,Late Cretaceous (Campanian),North America (Canada),Leptoceratopsid with robust forelimbs,2019,"Foremost Formation, Alberta",Only leptoceratopsid named from Canada,Medium
Mahuidacursor,Mahuidacursor,Mahui runner,Carnivore,2.7746426914464304,,1.5113627063744532,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2019,Argentina,Small theropod,Small
Wintonotitan,Wintonotitan,Winton titan,Herbivore,19.7547306800547,,6.056303486317573,Quadrupedal,Late Cretaceous,Australia,Sauropod dinosaur,2009,Australia,Large sauropod,Large
Muyelensaurus,Muyelensaurus,Muyelen lizard,Herbivore,19.305153067246934,3866.2897066598453,6.223988367034203,Quadrupedal,Late Cretaceous,South America,Titanosaurian sauropod,2007,Argentina,Medium-sized titanosaur,Unknown
Asiatosaurus,Asiatosaurus,Asian lizard,Herbivore,14.650747139158208,12218.10147283959,5.423584387453273,Quadrupedal,Early Cretaceous (Barremian),"Asia (China, Mongolia)",Early sauropod; based on limited jaw material,1959,"Inner Mongolia, China",One of the first named Asian dinosaurs,Low
Pachycephalosaurus,Pachycephalosaurus,Thick-headed lizard,Herbivore,4.104484867339725,423.42188673628584,1.920862883952843,Bipedal,Late Cretaceous,North America,"Known for thick skull, possibly for head-butting",1938,"Montana, USA",Dome-shaped skull,Medium
Kwanasaurus,Kwanasaurus,Kwana lizard,Herbivore,7.601090322474214,2825.3880355865695,2.5967424459971755,Bipedal,Late Cretaceous,South America,Sauropod dinosaur,2018,Argentina,Medium sauropod,Medium
Dandakosaurus,Dandakosaurus,Dandakaranya lizard,Carnivore,,,,Bipedal,Jurassic (Toarcian?),Asia (India),Theropod based on single vertebra; highly dubious,1962,"Kota Formation, India",Poorly known; uncertain classification,Unknown
Ledumahadi,Ledumahadi,Great thunder,Herbivore,27.103588154356338,38351.58510080799,7.306453577059059,Quadrupedal,Early Jurassic,Africa,Sauropod dinosaur,2015,South Africa,Huge sauropod,Huge
Daxiatitan,Daxiatitan,Daxia giant,Herbivore,30.87580291156028,,6.835695191788199,Quadrupedal,Early Cretaceous (Barremian),Asia (China),Titanosauriform sauropod,2008,"Hekou Group, Gansu Province",One of the longest sauropods from Asia,Low
Graciliceratops,Graciliceratops,Near lizard,Herbivore,2.064830224074894,52.53543347892915,0.9210986904558748,Bipedal,Early Jurassic,USA,Small herbivore,1818,USA,Small body,Medium
Alpkarakush,Alpkarakush,Alp Karakush (local name),?,,,,?,?,?,?,?,?,?,?
Huxleysaurus,Huxleysaurus,Huxley’s lizard,Herbivore,5.395509716734247,324.9585660981514,1.641926280993533,Bipedal,Early Jurassic,Europe (UK),Primitive ornithischian dinosaur,1994,England,Small basal ornithischian,Low
Aepisaurus,Aepisaurus,Late lizard (Greek Αἴψις = lofty),Herbivore,15.853792585863657,8032.628565277573,5.058278154514033,Quadrupedal,Late Cretaceous,France,"Large, rare sauropod; limited material known",1852,"Lot Formation, southern France",Large limb bones; fragmentary,Low
Heyuannia,Heyuannia,Fused lizard,Herbivore,6.128848936450018,5758.147073578669,1.6066351968706052,Quadrupedal,Late Cretaceous,North America,Armored,1908,Canada,Club tail,Medium
Astrodon,Astrodon,star tooth,Herbivor,14.504405092855999,10349.437515447884,5.363493719966735,Quadrupedal,Early Cretaceous (Aptian),"North America (Maryland, USA)",State dinosaur of Maryland; sauropod of uncertain group,1859,"Patauxent Formation, Maryland",Named from star-shaped tooth cross-sections,Low
Erketu,Erketu,Near bird,Carnivore,0.5455684877040601,0.4090047469757922,-0.2586721933058813,Bipedal,Late Jurassic,China,Feathered,2009,China,Feathers,Medium
Abditosaurus,Abditosaurus,Hidden lizard,Herbivore,15.354403027333518,20577.718224220895,5.523011223014089,Quadrupedal,Late Cretaceous,Europe,Sauropod dinosaur,2019,Spain,Large sauropod,Large
Zhangyisaurus,Zhangyisaurus nii,Zhangyi lizard,Carnivore,4.1991713084080375,183.61276434076274,1.3583756093205337,Bipedal,Late Jurassic,China,Theropod from Xinjiang,2010,"Shishugou Formation, China","Partial skeleton, medium size",Medium
Zhuchengtyrannus,Zhuchengtyrannus magnus,Zhucheng tyrant,Carnivore,10.282904763950478,,2.962697477391368,Bipedal,Late Cretaceous,China,Large tyrannosaurid theropod,2011,"Shandong, China",Close relative of Tarbosaurus,High
Hypselospinus,Hypselospinus,high ridge spine,Herbivore,5.795256016101668,193.41175786357795,1.8892041650183102,Bipedal,Early Cretaceous,Europe (UK),Iguanodontian ornithopod,2010,England,Moderate-sized herbivore with spines,Low
Apatosaurus,Apatosaurus,Almond tooth,Herbivore,21.476764235388107,20746.362401103528,6.860726260922613,Quadrupedal,Middle Jurassic,Argentina,Basal sauropod,1947,Argentina,Teeth shape,Low
Chilantaisaurus,Chilantaisaurus,Ch’i-lan-t’ai lizard,Carnivore,10.936431856130026,3899.5622534329023,2.949205330273603,Bipedal,Late Cretaceous (Cenomanian),Asia (China),Large theropod; possibly megaraptoran,1964,"Chinle Formation, Inner Mongolia",Strong arms and claws; uncertain classification,Medium
Comanchesaurus,Comanchesaurus,Comanche lizard,Carnivore,,,,Bipedal,Late Triassic (Norian),"North America (Texas, USA)",Poorly known early theropod or herrerasaurid,1921,"Texas red beds, USA",Based on fragmentary remains; highly dubious,Unknown
Compsognathus,Compsognathus,Almond tooth,Herbivore,11.748770702229436,10000000.0,2.757295988603766,Quadrupedal,Middle Jurassic,Argentina,Basal sauropod,1947,Argentina,Teeth shape,Low
Loncosaurus,Loncosaurus,Chief lizard,OMNIVORE,1.4050311714500765,10.367316471148001,0.6709355099120297,Bipedal,Late Cretaceous,South America,Small theropod dinosaur,1939,Argentina,Fragmentary remains,Unknown
Craterosaurus,Craterosaurus,bowl lizard,Herbivore,,,,Quadrupedal,Early Cretaceous (Barremian),Europe (England),Poorly known sauropod from vertebra fragment,1876,"Isle of Wight, UK",Taxonomic validity uncertain; possibly rebbachisaurid,Unknown
Pawpawsaurus,Pawpawsaurus,Pawpaw lizard,Herbivore,6.4462133242211825,1924.0414119649745,2.078200306128246,Quadrupedal,Late Cretaceous,North America,Ankylosaurid dinosaur,1996,USA,Medium armored dinosaur,Unknown
Opisthocoelicaudia,Opisthocoelicaudia,Posterior cavity tail,Herbivore,10.548255685229039,26809.836537834748,5.132097137276114,Quadrupedal,Late Cretaceous,Mongolia,May have used tail as defense,1965,"Nemegt Basin, Mongolia",Unique tail vertebrae,Low
Diamantinasaurus,Diamantinasaurus,Diamantina lizard,Herbivor,14.7741492528974,12539.627923723487,3.8373696472929586,Quadrupedal,Cretaceous (Cenomanian),Australia (Queensland),Titanosaurian sauropod; robust limbs and tail,2009,"Winton Formation, Queensland",One of few sauropods known from Australia,Low
Halszkaraptor,Halszkaraptor,Halszkaraptor,Carnivore,1.82770818631496,27.893613585855338,1.037801063246624,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2017,Mongolia,Small theropod,Small
Shishugounykus,Shishugounykus,Shishugou claw,Carnivore,0.939125130100152,9.23507612209197,0.5143062502132932,Bipedal,Late Cretaceous,Asia,Alvarezsaurid theropod,2019,China,"Small, fast predator",Medium
Achillesaurus,Achillesaurus,Achilles lizard,Carnivore,6.097285954735404,574.1338153751366,2.0141130043921933,Bipedal,Late Cretaceous,Argentina,No maxillary teeth,2007,Argentina,Slender limbs,Medium
Dynamoterror,Dynamoterror,powerful terror,Carnivore,8.31410561134295,2711.9190888933963,2.730666770790081,Bipedal,Late Cretaceous (Campanian),"North America (New Mexico, USA)",Tyrannosaurid with partial skull elements,2018,"Menefee Formation, New Mexico",May represent early tyrannosaurid radiation,High
Duriatitan,Duriatitan,Dorset titan,Herbivore,27.139284339084433,18585.80312430244 kg,5.20898226861667,Quadrupedal,Late Jurassic (Tithonian),Europe (England),Titanosauriform known from partial forelimb,2010,"Kimmeridge Clay, Dorset, England",Possibly related to Europasaurus or Brachiosauridae,Low
Soumyasaurus,Soumyasaurus,Soumya lizard,Herbivore,4.613569757989982,3086.5245150070377,2.2765240652414116,Bipedal,Late Jurassic,Asia,Sauropod dinosaur,2017,India,Medium sauropod,Medium
Chubutisaurus,Chubutisaurus,Fused lizard,,6.536701557537443,5880.113899938202,1.584008911434776,Quadrupedal,Late Cretaceous,North America,Armored,1908,Canada,Club tail,Medium
Khankhuuluu,Khankhuuluu,Khankhuuluu,Herbivore,5.613820905652009,3602.5612987201125,2.2672587953664984,Bipedal,Late Cretaceous,Asia,Sauropod dinosaur,2019,Mongolia,Medium sauropod,Medium
Menucocelsior,Menucocelsior,Menuco noble,Herbivore,7.9241113860257375,nan kg,3.364563004326328,Quadrupedal,Late Cretaceous,South America,Sauropod dinosaur,2021,Argentina,Large sauropod,Large
Anchisaurus,Anchisaurus,Alvarez's lizard,Carnivore,1.8042798350393268,20.55654070565588,0.8717707473768415,Bipedal,Late Cretaceous,Argentina,Small predator,1991,Argentina,Tiny arms,Medium
Regaliceratops,Regaliceratops,Regal horned face,Herbivore,5.724865252400644,3621.0494652441243,2.6290172171343262,Bipedal,Late Cretaceous,North America,Ceratopsian dinosaur,2017,Canada,Medium ceratopsian,Medium
Vouivria,Vouivria,Vouivria lizard,unknown,15.53030903195199,8498.712699697184 kg,4.845101429895903,Quadrupedal,Late Jurassic,Europe,Sauropod dinosaur,2017,France,Large sauropod,Large
Riojasaurus,Riojasaurus,RÃ­oja lizard,,10.000612099855708,3113.038036959767,3.024664280612576,Quadrupedal,Late Triassic,Argentina,Early sauropodomorph,1969,"La Rioja, Argentina",Long neck and tail,Low
Baiyinosaurus,Baiyinosaurus,Baiyin lizard,Herbivor,9.639312594695172,8054.158844312033,3.180657987098208,Quadrupedal,Late Jurassic,Asia,Sauropod dinosaur,2016,China,Medium sauropod,Medium
Walgettosuchus,Walgettosuchus,Walgett crocodile,Carnivore,5.930517191781808,494.4630414840253,1.5984801492055443,Bipedal,Late Cretaceous,Oceania,Archosaur,1994,Australia,Theropod-like reptile,Medium
Fukuititan,Fukuititan,Fukui titan,Herbivore,9.96731265495744,7870.924466478259,3.6898106138580578,Quadrupedal,Early Cretaceous (Barremian),Asia (Japan),Titanosauriform sauropod from Japan,2010,"Kitadani Formation, Fukui Prefecture",One of the first sauropods described from Japan,Low
Zarafasaura,Zarafasaura oceanis,Giraffe lizard,Carnivore,7.139720464579102,1061.2359852539294,3.069950925059244,Aquatic,Late Cretaceous,Morocco,Elasmosaurid plesiosaur,2011,"Oulad Abdoun Basin, Morocco","Long neck, marine reptile",Medium
Pendraig,Pendraig,Head dragon,,2.175153708591468,,1.2332384560266099,Bipedal,Late Triassic,Europe,Theropod dinosaur,2021,UK,Small theropod,Small
Hulsanpes,Hulsanpes,Cretaceous bird-foot,Carnivore,0.9406082595981968,,0.4331521973489954,Bipedal,Late Cretaceous,Asia (Mongolia),Small dromaeosaurid theropod,2005,Mongolia,"Feathered predator, agile and small",High
Acantholipan,Acantholipan,Spiny shield,Herbivore,5.226432792500071,2294.9365985628383,1.5006297958396648,Quadrupedal,Late Cretaceous,Mexico,Armored nodosaur,2011,Mexico,Clubless armored tail,Medium
Wuerhosaurus,Wuerhosaurus,Wuerho lizard,Herbivore,7.665292605607924,3167.545186103835,2.9177899571125727,Quadrupedal,Early Cretaceous,Asia,Stegosaur dinosaur,1973,China,Medium stegosaur,Medium
Gonkoken,Gonkoken,Gonkoken,,8.422136859685631,4367.8504223343425,3.0999351401952966,Bipedal,Late Cretaceous,South America,Hadrosaur dinosaur,2021,Chile,Medium hadrosaur,Medium
Lourinhasaurus,Lourinhasaurus,Lourinhã lizard,Herbivore,11.091535395383142,6233.998507302594,3.6440272744508864,Quadrupedal,Late Jurassic,Europe (Portugal),Sauropod dinosaur,1998,Portugal,Medium-sized diplodocoid,Medium
Nanotyrannus,Nanotyrannus,Dwarf tyrant,Carnivore,3.9003308178955662,,1.5317604418304431,Bipedal,Late Cretaceous,North America,Tyrannosaurid theropod (debated),1946,USA,Possibly juvenile T. rex,Unknown
Eotriceratops,Eotriceratops,dawn three-horned face,Herbivore,8.790829261578784,9464.228642321708 kg,3.7246703895500293,Quadrupedal,Late Cretaceous (Maastrichtian),"North America (Alberta, Canada)",Large ceratopsid closely related to Triceratops,2007,"Horseshoe Canyon Formation, Alberta",Possibly the earliest known Triceratopsine,Low
Mandschurosaurus,Mandschurosaurus,Manchurian lizard,Herbivore,6.432933526169334,3896.860439679165,3.375446118514923,Quadrupedal,Late Cretaceous,Asia (China),Hadrosaurid dinosaur,1929,China,Duck-billed herbivore,Medium
Erlikosaurus,Erlikosaurus,Near lizard,"herbivore ",1.9323972522286113,47.26037212586682 kg,0.9860979162027256,Bipedal,Early Jurassic,USA,Small herbivore,1818,USA,Small body,Medium
Argentinosaurus,Argentinosaurus,La Amarga lizard,Herbivor,37.38761211487391,69655.7315326135,9.085601359191726,Quadrupedal,Early Cretaceous,Argentina,Neck spines,1991,Argentina,Neck spines,Low
Choconsaurus,Choconsaurus,Chocon lizard,Herbivore,10.349441600702178,9510.710608675534,3.824878192723842,Quadrupedal,Late Cretaceous,South America,Sauropod dinosaur,2019,Argentina,Large sauropod,Large
Brachyceratops,Brachyceratops,short horned face,Herbivore,2.080277392582491,158.2138919584089,1.0709460118236294,Quadrupedal,Late Cretaceous (Campanian),"North America (Montana, USA)",Juvenile ceratopsian; may not be a valid genus,1914,"Two Medicine Formation, Montana",May be immature form of another ceratopsid,Low
Wendiceratops,Wendiceratops,Wendy's horned face,Herbivore,5.720718009123119,2788.8337335497818,2.4751928041514404,Quadrupedal,Cretaceous,North America,Ceratopsian dinosaur,2015,Canada,Medium ceratopsian,Medium
Ostafrikasaurus,Ostafrikasaurus,East African lizard,,10.32442757484302,,3.61516167142943,Bipedal,Middle Jurassic,Africa,Theropod dinosaur,2010,Tanzania,Large spinosaurid,Unknown
Tyrannotitan,Tyrannotitan,Tyrant titan,Carnivore,12.743198995735813,7107.8491085722435,4.150615649631158,Bipedal,Early Cretaceous,South America,Theropod dinosaur,2011,Argentina,Large theropod,Large
Demandasaurus,Demandasaurus,from Sierra de la Demanda,Herbivore,10.068617519413987,5556.261013963878,3.463494598024159,Quadrupedal,Early Cretaceous (Barremian–Aptian),Europe (Spain),Rebbachisaurid sauropod; long-necked herbivore,2011,"Castrillo de la Reina, Burgos",First rebbachisaurid found in Europe,Low
Baiyinosaurus,Baiyinosaurus,Baiyin lizard,Herbivore,10.789010093327152,7827.341503407857,3.1749996181450624,Quadrupedal,Late Jurassic,Asia,Sauropod dinosaur,2016,China,Medium sauropod,Medium
Gilmoreosaurus,Gilmoreosaurus,Sand lizard,Herbivore,4.230488340883254,296.16271181730195,1.2002570186308923,Bipedal,Early Jurassic,USA,Early sauropodomorph,1889,USA,Slender build,Medium
Dinodocus,Dinodocus,terrible beam,Herbivore,,,,Quadrupedal,Jurassic (?),Africa (Tanzania),Fragmentary sauropod; poorly understood,1882,"Manda Formation (?), Tanzania",May be a chimera or misidentified remains,Unknown
Elemgasem,Elemgasem,Elemgasem hunter,Carnivore,5.469376635511877,1089.4504703465439,3.2774077103351695,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2020,Argentina,Large predator,Large
Changyuraptor,Changyuraptor,long-feathered thief,Carnivore,1.2394976464368714,4.395216794809706,0.5398005324169612,Bipedal,Early Cretaceous (Aptian),Asia (China),Microraptorine dromaeosaurid with long tail feathers,2014,"Yixian Formation, Liaoning Province",Well-preserved feathers; four-winged anatomy,High
Seitaad,Seitaad,Seitaad (thunder),Herbivore,2.7433712318797903,157.69464257024939,1.063955365136602,Quadrupedal,Early Jurassic,North America,Sauropodomorph dinosaur,2007,USA,Small early herbivore,Medium
Sonorasaurus,Sonorasaurus,"Sonora lizard  ",,11.861990142619979,6782.60579663025,4.199196184021125,Quadrupedal,Late Cretaceous,North America,Hadrosaurid dinosaur,1998,USA,Large hadrosaur,Medium
Taleta,Taleta,Taleta,Herbivore,5.02817675197757,,2.067912073049502,Quadrupedal,Jurassic,Asia,Sauropod dinosaur,2015,China,Medium-sized sauropod,Medium
Rapator,Rapator,Thief,Carnivore,9.605416997712817,1083.5423080552064,3.024512113070215,Bipedal,Early Cretaceous,Australia,Known from a single hand bone,1921,"New South Wales, Australia",Uncertain classification,Unknown
Zby,Zby atlanticus,Zby,Herbivore,16.240711472274356,15194.539592759582,5.79730771675043,Quadrupedal,Late Jurassic,Portugal,Turonian turiasaurian sauropod,2014,"Lourinhã, Portugal","Named from single femur, large size",Medium
Triceratops?,Triceratops?,"Three-horned face?  ",Herbivor,8.536830248311748,5930.4835883773985 kg,3.2251551440377013,Quadrupedal,Late Cretaceous,North America,Ceratopsian dinosaur,1889,USA,Large ceratopsian,Medium
Garudimimus,Garudimimus,Near bird,Carnivore,0.4632041631884209,0.3833901144534446,0.2425049310603829,Bipedal,Late Jurassic,China,Feathered,2009,China,Feathers,Medium
Brighstoneus,Brighstoneus,Brighstone lizard,Herbivore,8.220628874517795,4017.6836710241705,3.240527160316558,Bipedal,Early Cretaceous,Europe,Theropod dinosaur,2021,UK,Medium theropod,Medium
Pelorosaurus,Pelorosaurus,Monstrous lizard,Herbivore,14.489864500249968,21920.09449549576,6.5064206719511954,Quadrupedal,Jurassic,Europe,Sauropod dinosaur,1850,UK,One of the earliest sauropods,Unknown
Sigilmassasaurus,Sigilmassasaurus,Sigilmassa lizard,Carnivore,9.205181606084938,2379.510559883722,3.368979739116917,Bipedal,Late Cretaceous,Africa,Theropod dinosaur,1996,Morocco,Large spinosaurid,Medium
Fostoria,Fostoria,after Robert Foster,Herbivore,4.625720732156537,519.2078792137439,1.6266280866406813,Bipedal,Cretaceous (Cenomanian),Australia (New South Wales),Iguanodontian ornithopod; multiple individuals found,2019,"Griman Creek Formation, Australia",Improves understanding of Aussie ornithopods,Medium
Foraminacephale,Foraminacephale,Foramina head,Herbivore,3.79625437749192,867.1752295190728,1.1383766194759417,Quadrupedal,Late Cretaceous,North America,Pachycephalosaur dinosaur,2011,Canada,Small pachycephalosaur,Small
Anomalipes,Anomalipes,Unusual foot,Carnivore,4.238418969755116,164.84722477998736,1.3105250410059028,Bipedal,Late Cretaceous,Asia,Theropod dinosaur,2019,China,Medium predator,Medium
Bahariasaurus,Bahariasaurus,Bahariya lizard,Carnivore,10.527028703731691,3991.3100550604536,3.209271289845197,Bipedal,Late Cretaceous (Cenomanian),Africa (Egypt),"Large theropod, possibly a carcharodontosaurid",1934,"Bahariya Formation, Egypt",Fossils destroyed in WWII; poorly known,Medium
Eoabelisaurus,Eoabelisaurus,dawn abelisaur,Carnivore,6.9055274675323055,651.089631775934,2.5076268124946606,Bipedal,Middle Jurassic (Aalenian–Bathonian),South America (Argentina),Early abelisaurid with complete skeleton,2012,"Cañadón Asfalto Formation, Patagonia",Oldest known abelisaurid; transitional features,High
Dilong,Dilong,emperor dragon,,2.077676749265314,23.915893640401297,0.6349898819518662,Bipedal,Early Cretaceous (Barremian–Aptian),Asia (China),Basal tyrannosauroid with evidence of protofeathers,2004,"Yixian Formation, Liaoning Province",One of the earliest feathered tyrannosaurs,High
Magnapaulia,Magnapaulia,Large Paulia,Herbivore,13.918814640631746,18490.544359750947,5.082884492345049,Quadrupedal,Late Cretaceous,North America,Hadrosaurid dinosaur,2012,USA,Large duck-billed dinosaur,Medium
Tratayenia,Tratayenia,Tratayenia lizard," CARNIVORE",9.605144432506737,7313.175149801197,4.269758879433098,Quadrupedal,Cretaceous,South America,Sauropod dinosaur,2017,Argentina,Large herbivore,Large
Probactrosaurus,Probactrosaurus,Early Bactrosaurus,Herbivore,7.651600480964066,2672.7742968614034,2.365233774936765,Bipedal,Late Cretaceous,Asia,Primitive hadrosaurid,1952,China,Medium-sized hadrosaur,Medium
Camptosaurus,Camptosaurus,Almond tooth,Herbivore,11.693594231306289,,2.7494900664388497,Quadrupedal,Middle Jurassic,Argentina,Basal sauropod,1947,Argentina,Teeth shape,Low
Heptasteornis,Heptasteornis,seven bones bird,Possibly carnivore,1.9206199134209483,36.578948980220936,1.0850688907775916,Bipedal,Late Cretaceous,Europe (Hungary),"Possible alvarezsaurid or theropod, fragmentary remains",1975,Hungary,Uncertain classification,Medium
Teyuwasu,Teyuwasu,Teyu warrior,Omnivore,7.056684923333353,3874.2758607313217,3.424573396443576,Quadrupedal,Late Triassic,South America,Sauropodomorph dinosaur,2018,Brazil,Late Triassic herbivore,Large
Mahuidacursor,Mahuidacursor,Mahui runner," CARNIVORE",3.0450044724998855,160.93943325982826,1.4672954786387475,Bipedal,Late Cretaceous,South America,Theropod dinosaur,2019,Argentina,Small theropod,Small
Cumnoria,Cumnoria,from Cumnor,Herbivor,3.6806649308964188,752.4942057896359,1.9847030508573298,Bipedal,Late Jurassic (Kimmeridgian),Europe (England),Iguanodontian with robust limb proportions,1879,"Kimmeridge Clay, Oxfordshire",Early representative of styracosternans,Medium
Aepisaurus,Aepisaurus,Late lizard (Greek Αἴψις = lofty),Herbivore,15.421348672414505,7965.68007377835,5.11984244240332,Quadrupedal,Late Cretaceous,France,"Large, rare sauropod; limited material known",1852,"Lot Formation, southern France",Large limb bones; fragmentary,Low
Huangshanlong,Huangshanlong,Huangshan dragon,carnivor,20.122698388043293,22718.939528547584,7.0656766711814445,Quadrupedal,Late Cretaceous,Asia,Sauropod dinosaur,2014,China,Large sauropod,Large
Ferganocephale,Ferganocephale,Fergana head,Herbivore,1.0871129369961736,9.594638119261477,0.48881791630945104,Bipedal,Jurassic (Oxfordian),Asia (Kyrgyzstan),Pachycephalosaurian with partial skull remains,2005,"Fergana Valley, Kyrgyzstan",Likely basal and poorly understood,Unknown
Koreanosaurus,Koreanosaurus,Korean lizard,Herbivore,2.2628666704401903,328.82238722438564,1.1597564137759624,Bipedal,Late Cretaceous,Asia (Korea),Ornithopod dinosaur,2003,South Korea,"Lightly built, fast runner",Medium
Plateosauravus,Plateosauravus,Plateosaurus ancestor,Herbivore,7.68661958696151,4066.480625126095,2.8162491654495865,Bipedal,Late Triassic,Europe,Sauropodomorph dinosaur,1965,South Africa,Early sauropodomorph,Unknown
Thecodontosaurus,Thecodontosaurus,"Thecodontosaurus (socket-toothed lizard)  ",Herbivore,2.1848682227479257,,0.9354541230881566,Quadrupedal,Triassic,Europe,Prosauropod dinosaur,1834,UK,Small early herbivore,Medium
Pelecanimimus,Pelecanimimus,Pelican mimic,Carnivore,2.2881266026919596,52.22596428219476,1.112521072167626,Bipedal,Early Cretaceous,Spain,"Had a throat pouch, over 200 teeth",1994,"Las Hoyas, Spain",Toothed beak and throat pouch,Medium
Fylax,Fylax,Fylax guardian,Carnivore,3.264332154300382,319.5265161121945,1.3597640475076669,Bipedal,Late Cretaceous,Europe,Theropod dinosaur,2020,Europe,Medium theropod,Medium
Niobrarasaurus,Niobrarasaurus,Niobrara lizard,Herbivore,5.312647735366047,1943.334348248866,1.884523565558503,Quadrupedal,Late Cretaceous,North America,Ankylosaurid dinosaur,1995,USA,Medium armored dinosaur,Unknown
Liassaurus,Liassaurus,Lias lizard,,1.9694429472723263,97.5083809508678,0.8161475064000984,Bipedal,Early Jurassic,Europe,Plesiosaur genus (sometimes debated as dinosaur),1980,England,"Possible plesiosaur, uncertain",Unknown
Archaeoceratops,Archaeoceratops,Fused lizard,,6.096813587987267,6083.920495390294 kg,1.7879477657371572,Quadrupedal,Late Cretaceous,North America,Armored,1908,Canada,Club tail,Medium
Chondrosteosaurus,Chondrosteosaurus,cartilage and bone lizard,Herbivore,14.614678168438232,9845.86948420368,4.8871198391430655,Quadrupedal,Early Cretaceous (Barremian),Europe (England),Macronarian sauropod; named from vertebrae,1876,"Isle of Wight, UK",Internal vertebra cavities; originally thought pneumatic,Low
Lohuecotitan,Lohuecotitan,Lohueco titan,Herbivore,15.10379378469481,,5.78593598706715,Quadrupedal,Late Cretaceous,Europe,Sauropod dinosaur,2017,Spain,Large sauropod,Large
